case,perimeter
1,3.3532593865028146
2,3.185558234088173
3,3.102590361826308
4,3.355187702537821
5,3.2891640342566313
6,2.999547272209003
7,3.1696136547856493
8,3.1374384184367154
9,3.0959178056698584
10,3.0726480030524157
11,3.311614882833174
12,3.24442439300103
13,3.275510146926817
14,3.3419759922403163
15,3.3304631019722155
16,3.4401351460583123
17,3.409411363557359
18,3.113331999046835
19,3.1242800863616496
20,3.094629281576817
21,3.353756252341631
22,3.5269051576201593
23,3.0372159835896255
24,3.212668905601667
25,3.0342163622381944
26,3.6958010776165575
27,3.0050986033567026
28,3.1505981272908596
29,3.0558553459931566
30,3.020067284376731
31,3.0768186362455583
32,3.297248542179121
33,3.0607720392753937
34,3.478136934141187
35,3.098590558570758
36,3.028426221040268
37,3.2314252351033
38,3.0592005875477457
39,3.1607121939641414
40,2.9331330675081864
41,3.0350172551754686
42,3.1040371657760404
43,3.184527443797153
44,2.9641670144827583
45,3.505177753089717
46,3.1269907053072195
47,3.331455111369795
48,3.351530855164475
49,3.4104373399101853
50,3.0092861629682104
51,3.054993915995927
52,3.115199283180824
53,3.1249100925830504
54,3.212470566123169
55,3.0041719532922575
56,3.488965285734893
57,3.0193697902855856
58,3.12299746798741
59,3.218189857288367
60,3.105711094020682
61,3.2424294017135553
62,3.109634957648809
63,3.6698282986959865
64,3.2596883507401926
65,3.442169708420571
66,3.0902969756471497
67,3.0626901975924596
68,3.5398726426205895
69,3.2926113411610434
70,3.376578269620371
71,3.092978203197258
72,2.9905213064922673
73,3.0805756535083817
74,3.121781666060162
75,3.2030029663607253
76,2.9611279350641735
77,3.0611562674762536
78,3.1149154388701525
79,3.06502083224683
80,3.2443253370572567
81,2.968834316687341
82,3.0205799078953652
83,3.4373826277602966
84,3.2589625784839287
85,2.9319271754885263
86,3.119179644352215
87,3.2404722122785103
88,3.046590119878043
89,3.1800688780106237
90,3.1077370712732533
91,3.040348389100486
92,3.1840396437142875
93,3.0598495930019007
94,3.0291515307558723
95,3.3063665278512264
96,3.1519358722795348
97,3.0870289777343904
98,3.0837442375051003
99,3.206158003075721
100,3.0408685082442495
