case,perimeter
1,3.5570276738144457
2,3.3343763290904462
3,3.2152444631792605
4,3.4306489592418075
5,3.8485984914004803
6,3.960643887054175
7,3.589801817201078
8,3.6197436721995473
9,3.9694360541179776
10,3.6940193669870496
11,4.07555000577122
12,4.133608062751591
13,8.75857656635344
14,6.293545193970203
15,7.192246480379254
16,7.872211581096053
17,3.4609967954456806
18,3.511783736292273
19,3.6031466014683247
20,3.539105403237045
21,3.888940868899226
22,3.8836571080610156
23,3.8945022486150265
24,3.6944007528945804
25,3.6410879981704056
26,3.3318069521337748
27,3.822877049446106
28,4.822028993628919
29,3.91205235151574
30,3.9363595973700285
31,5.793406616896391
32,5.442014712374657
33,5.30556457163766
34,6.156905305106193
35,5.639733598567545
36,5.214929869864136
37,3.9796080416999757
38,4.550937871914357
39,5.155170077923685
40,5.783810335211456
41,4.430276515427977
42,3.960487177595496
43,7.10765671171248
44,7.12226916057989
45,6.9283138257451355
46,5.190722997300327
47,3.5750792417675257
48,3.516397435218096
49,3.7804897441528738
50,3.4705967917107046
51,4.246065232902765
52,4.200039050076157
53,4.582047517877072
54,4.859386940486729
55,5.113270369358361
56,5.25124265672639
57,4.658090726472437
58,4.438257962465286
59,5.9053491409868
60,6.094318909570575
61,6.554847661871463
62,6.1738212034106255
63,3.70763136446476
64,3.99104528920725
65,3.928981388453394
66,3.9563323841430247
67,7.7464177357032895
68,4.152818851638585
69,4.463829456362873
70,4.336363036185503
71,4.202419605106115
72,3.824509453959763
73,3.789616495836526
74,3.6845046654343605
75,3.6341925994493067
76,5.649146410636604
77,5.614495859947056
78,4.594313665758818
79,5.620574631728232
80,4.2186343730427325
81,3.581888221669942
82,4.826142549049109
83,4.854845398105681
84,3.969816788099706
85,3.96981683652848
86,3.2083512004464865
87,3.2083514244295657
88,3.3925494458526373
89,5.060833883471787
90,4.021887315902859
91,4.1714100278913975
92,4.685632509179413
93,4.897888604551554
94,4.842696984298527
95,4.529245264828205
96,4.602211686316878
97,3.811342183034867
98,4.1311904257163405
99,3.775915467645973
100,3.895203405059874
