Epoch 1/200, Train Loss: 0.0008748573812408722, Val Loss: 7.201940985396505e-05, L2 Loss: 0.018979888736851767, LInf Loss: 0.1364779567718506
Epoch 2/200, Train Loss: 4.208265316265169e-05, Val Loss: 4.039111365273129e-05, L2 Loss: 0.014215446442307324, LInf Loss: 0.1145140665769577
Epoch 3/200, Train Loss: 2.2721813975294937e-05, Val Loss: 1.7359764933644327e-05, L2 Loss: 0.009270265993540066, LInf Loss: 0.10826680094003677
Epoch 4/200, Train Loss: 1.6179767312678452e-05, Val Loss: 1.5888289417489433e-05, L2 Loss: 0.008898336500104392, LInf Loss: 0.10431600868701935
Epoch 5/200, Train Loss: 1.324592796891011e-05, Val Loss: 1.4573262487829198e-05, L2 Loss: 0.008524703214313185, LInf Loss: 0.09793731689453125
Epoch 6/200, Train Loss: 1.0031806093593332e-05, Val Loss: 1.980342309252592e-05, L2 Loss: 0.009953769732361438, LInf Loss: 0.09371037393808365
Epoch 7/200, Train Loss: 8.685268087447184e-06, Val Loss: 1.6016757472243624e-05, L2 Loss: 0.008954821696720012, LInf Loss: 0.09049601197242736
Epoch 8/200, Train Loss: 8.179056648032201e-06, Val Loss: 3.688657516249805e-06, L2 Loss: 0.004260650660893688, LInf Loss: 0.08522797375917435
Epoch 9/200, Train Loss: 7.247396418961216e-06, Val Loss: 7.16763093805639e-06, L2 Loss: 0.005985747634081456, LInf Loss: 0.08460804730653763
Epoch 10/200, Train Loss: 7.547366647031595e-06, Val Loss: 1.4186315711413045e-05, L2 Loss: 0.008434972165848643, LInf Loss: 0.08068820714950561
Epoch 11/200, Train Loss: 6.748175040911519e-06, Val Loss: 1.086964530259138e-05, L2 Loss: 0.0073813780319900634, LInf Loss: 0.08061173230409623
Epoch 12/200, Train Loss: 6.147582378162042e-06, Val Loss: 8.856733857101062e-06, L2 Loss: 0.006662875994777495, LInf Loss: 0.07654342994093895
Epoch 13/200, Train Loss: 6.063361205406181e-06, Val Loss: 4.9932139063457726e-06, L2 Loss: 0.0049891673515454205, LInf Loss: 0.07635541945695877
Epoch 14/200, Train Loss: 5.710336852189357e-06, Val Loss: 3.6380739766173066e-06, L2 Loss: 0.004262417561853934, LInf Loss: 0.07363788589835167
Epoch 15/200, Train Loss: 5.765450658827831e-06, Val Loss: 2.8122346611780813e-06, L2 Loss: 0.003737019074173122, LInf Loss: 0.07206238150596618
